Serial,Day,Location,Liters,Lat,Lng,Color
1515487,1,Manor St. - Centra - at corner of Arbour Hill,454,53.35050785,-6.281770477,"[128, 128, 128]"
1515488,1,Raheny - Macaris,0,53.38017567,-6.17400198,"[128, 128, 128]"
1515489,1,Boardwalk - Grattan Bridge to Millenium Bridge - Opp. Morrison Grill,0,53.3461732,-6.265772546,"[128, 128, 128]"
1515497,1,Smithfield - Dublin Bikes - Mater UCD,454,53.34966359,-6.277925189,"[128, 128, 128]"
1515498,1,Rosie Hackett Bridge meets Burgh Quay - Opp. Bermingham cameras,113,53.34738571,-6.257256732,"[128, 128, 128]"
1515500,1,Clontarf Rd. - Vernon Ave. - Outside Thunders Cafe,0,53.359175,-6.196275,"[255, 0, 0]"
1515501,1,A4/1 - The Barge - Grand Canal,340,53.33046764,-6.260672002,"[128, 128, 128]"
1515550,1,Boardwalk - Ha'penny Bridge to O'Connell Bridge - Opp. Tanning Salon,113,53.34681333,-6.2619,"[128, 128, 128]"
1515553,1,Clontarf Rd. - Vernon Ave. - Outside Spar & Roccos,227,53.35921833,-6.195936667,"[128, 128, 128]"
1515557,1,Boardwalk - O'Connell Bridge to Rosie Hackett Bridge - Opp. Carlyle Club Townhouse,113,53.34758242,-6.258680986,"[128, 128, 128]"
1515558,1,Smithfield - Generator Bar,0,53.34821411,-6.278524687,"[128, 128, 128]"
1515566,1,Manor St. - Bus Stop 1648 -Corner of Arbour Place,454,53.35096833,-6.28275,"[128, 128, 128]"
1515571,1,A6/2 - Portobello Quay - Grand Canal,454,53.33024072,-6.265512884,"[128, 128, 128]"
1515577,1,Boardwalk - Grattan Bridge to Millenium Bridge - Opp. BG Solicitors,113,53.34602182,-6.267617755,"[128, 128, 128]"
1515578,1,Boardwalk - Ha'penny Bridge to O'Connell Bridge - Opp. Arlington Bar,0,53.34706579,-6.260884767,"[255, 0, 0]"
1515581,1,Smithfield - Maldron Hotel - Beside Parking Meter 5377,227,53.34941474,-6.27810536,"[128, 128, 128]"
1515582,1,Parliament St. - Porterhouse,454,53.34503219,-6.267429748,"[128, 128, 128]"
1515583,1,Boardwalk - Rosie Hackett Bridge to Butt Bridge - Opp. Tracey's Pharmacy,113,53.3479414,-6.256993848,"[128, 128, 128]"
1515584,1,Aston Quay - USIT - Bus Stop 325,454,53.34674236,-6.259753858,"[128, 128, 128]"
1515585,1,Wms 1393 - Right - Playground - Smithfield,227,53.34730184,-6.2785271,"[128, 128, 128]"
1515586,1,Burgh Quay - Bus Stop Outside Immigration Service,113,53.34742639,-6.256354325,"[128, 128, 128]"
1515588,1,Rosie Hackett Bridge meets Burgh Quay - Opp. Empire Casino,0,53.34735951,-6.257395209,"[255, 0, 0]"
1515589,1,Burgh Quay - Bus Stop Outside Immigration Service,227,53.3473207,-6.256970364,"[128, 128, 128]"
1515593,1,Westmoreland St. - Circle k - Against Railing,454,53.34661338,-6.259214271,"[128, 128, 128]"
1515595,1,Boardwalk - Ha'penny Bridge to O'Connell Bridge - Opp. Arlington Hotel,0,53.34710667,-6.260563333,"[255, 0, 0]"
1515596,1,Aston Quay-outside The Dublin Barber,227,53.34649553,-6.260985054,"[128, 128, 128]"
1515597,1,Aston Quay - Supervalu,454,53.34647382,-6.26038172,"[128, 128, 128]"
1515598,1,Parliament St. - Turks Head,567,53.34488379,-6.267507813,"[0, 255, 0]"
1515599,1,Wms 1137 - Left - Smithfield Playground,454,53.34729723,-6.27853456,"[128, 128, 128]"
1515600,1,Smithfield - Costa Coffee - Beside Luas Line,0,53.34704833,-6.278723333,"[255, 0, 0]"
1515601,1,Temple Bar - Fleet St - Paddy Power,454,53.345763,-6.260160734,"[128, 128, 128]"
1515602,1,Parliament St. - Spar,454,53.34467167,-6.267231667,"[128, 128, 128]"
1515605,1,Essex St. East - Projects Art Centre,567,53.3451065,-6.265804116,"[0, 255, 0]"
1515607,1,Essex St. West -Smock Alley Theatre,340,53.3446818,-6.268761983,"[128, 128, 128]"
1515612,1,Sandymount Village- Ped X Over- Artybaker,454,53.332028,-6.214817343,"[0, 255, 0]"
1516630,1,Sunmerhill Parade - 16 Lowrys Pub,454,53.35758702,-6.248486077,"[128, 128, 128]"
1516638,1,Cooley Rd - Main Entrance to Childrens Hospital,340,53.3266952,-6.317335385,"[128, 128, 128]"
1516640,1,Georges Quay Bus Stop B,227,53.34737066,-6.253102584,"[128, 128, 128]"
1516642,1,Pearse Street Outside Valentino Restaurant,340,53.34252042,-6.238727833,"[128, 128, 128]"
1516646,1,Bus Stop 353 Pearse St.,113,53.34282315,-6.239782327,"[128, 128, 128]"
1516648,1,Ringsend Rd At Bus Stop 354,454,53.34212619,-6.236523373,"[128, 128, 128]"
1516651,1,Outside Spar Dolohins Barn At Junction Of Rubens Street,567,53.33388602,-6.290709656,"[0, 255, 0]"
1516842,1,Summerhill - Rutland Lwr - Pedestrain X Over - Outside 49a,454,53.35556393,-6.252955777,"[128, 128, 128]"
1516843,1,Creighton Street Outside Eurospar,227,53.34526504,-6.246601956,"[128, 128, 128]"
1516850,1,A2/1 - Barrow St Outside Spar,113,53.3401835,-6.236569547,"[128, 128, 128]"
1516989,1,Ballybough Rd. - The Day Today Shop,454,53.35947623,-6.245243279,"[128, 128, 128]"
1516991,1,Bridge Tavern - Summerhill,454,53.35876715,-6.246432644,"[128, 128, 128]"
1516996,1,Mayor St. - On Bridge - beside Retail Units & Canal Walkway Entrance,0,53.34879094,-6.240082447,"[128, 128, 128]"
1517001,1,Heuston Station Entrance - Inbound - Bus Stop 4413,340,53.34615268,-6.292867901,"[128, 128, 128]"
1517002,1,Emmet St/Fitzgibbon St - Savoy Take Away,454,53.3583334,-6.254794785,"[128, 128, 128]"
1517005,1,Georges Quay Outside Starbucks,113,53.34744741,-6.255568212,"[128, 128, 128]"
1517009,1,High Street - Spar,0,53.3431392,-6.275503331,"[255, 0, 0]"
1517011,1,Charlotte Quay Dock Beside Illuminated Sign,454,53.34222183,-6.236415593,"[128, 128, 128]"
1517014,1,Talbot Street-bext To Seating At Memorial,454,53.3513467,-6.250601719,"[128, 128, 128]"
1517015,1,Opposite Il Valentino Bakery,227,53.34238641,-6.238667214,"[128, 128, 128]"
1517025,1,Georges Quay Bus Stops,567,53.34742591,-6.25271793,"[0, 255, 0]"
1517353,1,A4/1 - Eustace Bridge - Pedestrian Xover - 56 Adelaide Rd,454,53.33211273,-6.252933838,"[128, 128, 128]"
1517361,1,"Beside Tenable, Sir John Rogerson's Quay",340,53.34656307,-6.245482925,"[128, 128, 128]"
1517367,1,Patriots Pub - Kilmainham Lane - at Pedestrian Xover,454,53.34187621,-6.307685969,"[128, 128, 128]"
1517372,1,Sean MacDermott St. Upper - Larkin Community College,567,53.35266297,-6.257524276,"[0, 255, 0]"
1517402,1,Wms 1185 - Ballyough Rd - Antonio's Takeaway,454,53.36013246,-6.244130547,"[128, 128, 128]"
1517619,1,Tara Street Station Exit - Georges Quay,113,53.34739095,-6.25462197,"[128, 128, 128]"
1517635,1,City Quay Opposite Creighton St,227,53.34666856,-6.246016224,"[128, 128, 128]"
1520480,1,Mace - James Street,340,53.34336042,-6.288805695,"[128, 128, 128]"
1520513,1,Crumlin Village - DCC Area Office - Taxi Rank,454,53.32019042,-6.315925631,"[128, 128, 128]"
1520524,1,Crumlin Village - Paddy Power,454,53.3203309,-6.316107096,"[128, 128, 128]"
1520540,1,Kilbarrack SC outside Top Fuel (Replacing WMS 2459),113,53.38903872,-6.168402702,"[128, 128, 128]"
1520553,1,Edenmore SC (Clinic Side) Replacing WMS 1339,454,53.38818322,-6.182047748,"[128, 128, 128]"
1520564,1,Crumlin Village - Church Of St. Agnes - South Central,454,53.31927315,-6.315183111,"[128, 128, 128]"
1520573,1,Crumlin Village - Bus Stop 2329 - Four Star Pizza,454,53.32088773,-6.316908723,"[128, 128, 128]"
1521145,1,Beach Rd - Steps Into Sean Moore Park - Sandymount,340,53.33474024,-6.213741956,"[128, 128, 128]"
1521194,1,Essex Quay - Bus Stop 1443,113,53.34513278,-6.269648749,"[128, 128, 128]"
1521196,1,Christchurch Place - The Lord Edward Pub,454,53.34322655,-6.270020216,"[128, 128, 128]"
1521224,1,Fleet Street Outside Tesco,454,53.3457578,-6.260210152,"[128, 128, 128]"
1521229,1,Wellington Quay - ASTI CU #25 - Before Millenium Bridge,567,53.34576383,-6.264662331,"[0, 255, 0]"
1521231,1,Wellington Quay - Bus Stop 312 - Bison Bar,227,53.34554243,-6.266230673,"[128, 128, 128]"
1521236,1,Thomas St. - Tesco Express/Centra,454,53.34274776,-6.278651968,"[128, 128, 128]"
1521238,1,Crampton Quay - City Link Bus,454,53.346156,-6.262252882,"[128, 128, 128]"
1521245,1,Rathmines Rd Lwr - Bus Stop 1076 - Outside Flying Tiger,113,53.323036,-6.26548992,"[128, 128, 128]"
1521258,1,Merchants Arch - Ha’penny Bridge,454,53.34601564,-6.262892953,"[128, 128, 128]"
1523204,1,Westmoreland Street Outside Super Macs,0,53.34626689,-6.259223076,"[128, 128, 128]"
1523212,1,Dean Plaza Off Francis Street Outside Funked Up Cycles,454,53.33911619,-6.273540233,"[128, 128, 128]"
1524280,1,Darndale - Belcamp Square - Di Lucias Takeaway,113,53.40151703,-6.194776129,"[128, 128, 128]"
1524676,1,"Darndale - Belcamp Square - School Side Entrance to Sq,",0,53.40137759,-6.194398634,"[128, 128, 128]"
1527293,1,Darndale - Belcamp Square - Bobs News Nearby,0,53.401561,-6.194555936,"[128, 128, 128]"
1527476,1,Smithfield - Fresh Supermarket - Green Area,340,53.34918725,-6.278228102,"[128, 128, 128]"
1528744,1,Emmett Rd -  Dublin Bikes Point,454,53.34069088,-6.308588615,"[128, 128, 128]"
1528870,1,Outside Connolly Station - Inbound At Bus Stops.,113,53.35061066,-6.250205161,"[128, 128, 128]"
1528897,1,Old Cabra Rd - Hanlons Corner - Lidl,454,53.35807114,-6.290017162,"[128, 128, 128]"
1530126,1,Westmoreland St. - Supermacs - at Bus Stop 317 - Recycler,454,53.34632089,-6.259319739,"[128, 128, 128]"
1530134,1,On Path Just Up From  ST Malachys AFC Edenmore On The Springdale Road,0,53.38628195,-6.187741932,"[128, 128, 128]"
1530140,1,Westmoreland St - Weavers of Ireland,113,53.34581598,-6.259231647,"[128, 128, 128]"
1530145,1,Westmoreland St - Opp. Westin at Bus Stop 320 - Recycler,681,53.34554369,-6.259238832,"[0, 255, 0]"
1530162,1,Edenmore - Tonlegee Road @ Bus Stop 961,340,53.3910852,-6.17656414,"[128, 128, 128]"
1530164,1,Camden St - Davitts Bar,0,53.33565768,-6.265290181,"[255, 0, 0]"
1530257,1,Sandymount Green - Opp. Bennetss Auctioneers,0,53.33195315,-6.215679841,"[255, 0, 0]"
1530273,1,Sandymount Green - Opp. Cobblers Wardrobe,113,53.33204745,-6.214908553,"[128, 128, 128]"
1530275,1,Sandymount Green - Residential Side,113,53.33167311,-6.215136223,"[128, 128, 128]"
1530815,1,Raheny - Howth Rd - AIB - Bus Stop 535,0,53.38024772,-6.177397282,"[255, 0, 0]"
1530829,1,Mount Prospect Ave - St Annes Park Rose Garden Entrance,454,53.36976803,-6.181493334,"[128, 128, 128]"
500003835,1,Wolfe Tone Park - off Jervis Street - On Paving,454,53.34811913,-6.266799935,"[128, 128, 128]"
1402234,10,A4/1 - Grand Canal - Luas Exit Opp Charlemont 21,340,53.33093145,-6.258733571,"[128, 128, 128]"
1500236,10,A4/2 - Baggot St. Lower - Donnybrook Fair,1249,53.33364621,-6.244624242,"[128, 128, 128]"
1500239,10,A2/1 - Pembroke Rd. - at Embassy Grill Restaurant,1022,53.32998346,-6.232498017,"[128, 128, 128]"
1500243,10,A4/2 - Baggot St. Lower - Between Grafton Barber & Wellington Pub,681,53.33394463,-6.24517948,"[128, 128, 128]"
1500360,10,A2/1 - Northumberland Rd. Lower - at Bus Stop 488 - Beside D4 Fuels,794,53.33320333,-6.236028333,"[128, 128, 128]"
1500371,10,Pearse St. - Pearse Sq. Park Entrance - at Bus Stop 352,227,53.3429223,-6.242428007,"[128, 128, 128]"
1500432,10,A2/3 - AI - 9 - Sandymount Promenade,908,53.324825,-6.206493066,"[128, 128, 128]"
1500636,10,A4/2 - Baggot St. Lower - Behind Bus Stop at Craft Cleaners,454,53.33377221,-6.244691517,"[128, 128, 128]"
1500660,10,A4/2 - Baggot St. Lower - at Searsons Pub - at Pedestrian X Over,1249,53.3331699,-6.243195534,"[128, 128, 128]"
1500673,10,"A4/2 - Mespil Rd, La Peniche, Canal Bank",340,53.33320141,-6.248429791,"[128, 128, 128]"
1500688,10,A2/1 - Pembroke Rd. - at Bus Stop 487 - beside US Embassy,1135,53.33084615,-6.23383896,"[128, 128, 128]"
1500690,10,A4/2 - Pembroke Rd. - Outside No. 72,1022,53.33245333,-6.238903333,"[128, 128, 128]"
1500699,10,A4/2 - Waterloo Rd. - at Bus Stop 779,454,53.32870359,-6.245144845,"[128, 128, 128]"
1500759,10,A4/2 - Baggot St. Lower - at Burger King,2725,53.33387,-6.244846667,"[128, 128, 128]"
1500776,10,"A4/2 - Mespil Rd, Maxol",454,53.33383268,-6.246025447,"[128, 128, 128]"
1500794,10,A4/2 - Pembroke Rd. -  Outside No. 53,681,53.3323795,-6.238775,"[128, 128, 128]"
1500834,10,A4/2 - Waterloo Rd. - at Bus Stop 753,1249,53.33252673,-6.243524938,"[128, 128, 128]"
1504611,10,A2/3 - AG - 7 - Sandymount Promenade,340,53.32360167,-6.206245,"[128, 128, 128]"
1504613,10,A2/4 - AB - 2- Sandymount Promenade,567,53.320695,-6.205773333,"[128, 128, 128]"
1504615,10,A2/4 - AE - 5 - Sandymount Promenade,1362,53.322465,-6.206116667,"[128, 128, 128]"
1504616,10,A2/3 - AJ - 10 - Sandymount Promenade,0,53.32552333,-6.20676,"[255, 0, 0]"
1504617,10,A2/4 - AD - 4- Sandymount Promenade,1362,53.321735,-6.205966667,"[128, 128, 128]"
1504619,10,A2/3 - AF - 6 - Sandymount Promenade,454,53.32666,-6.207661667,"[128, 128, 128]"
1504620,10,Shelbourne Rd- Ballsbridge Colege Of Futher Education,1249,53.32991463,-6.231829451,"[128, 128, 128]"
1504621,10,"A4/2 - Mespil Rd, Beshoff Fish & Chips",1930,53.33388383,-6.245598653,"[128, 128, 128]"
1504622,10,A2/3 - AH - 8 - Sandymount Promenade,3179,53.32420333,-6.206481667,"[128, 128, 128]"
1504624,10,"A2/1 - Pembroke Rd. - at Ballsbridge Hotel, beside Bus Stop",794,53.33156333,-6.234461667,"[128, 128, 128]"
1504625,10,A4/2 - Baggot St. Lower  - at Saba Restaurant,1589,53.33353157,-6.244104872,"[128, 128, 128]"
1504626,10,A4/2 - Baggot St. Lower - at Rockets Diner,681,53.33318552,-6.243624129,"[128, 128, 128]"
1504627,10,A2/3 - AC - 3 - Sandymount Promenade,2271,53.32779073,-6.208433756,"[128, 128, 128]"
1504628,10,A4/2 - Eastmoreland Place - at AIB,1249,53.33305894,-6.242475634,"[128, 128, 128]"
1504630,10,A4/2 - Baggot St. Lower - at Spar,1135,53.33355656,-6.244432087,"[128, 128, 128]"
1506392,10,Kilmainham Gaol Main Entrance Left,1362,53.34192667,-6.308361667,"[128, 128, 128]"
1506396,10,Kilmainham Gaol Main Entrance Right,908,53.34195816,-6.308560359,"[128, 128, 128]"
1515439,10,East Essex St. - The Norseman Pub,3293,53.34545023,-6.26484276,"[0, 255, 0]"
1515450,10,Donnycarney Community & Youth Club,454,53.37493714,-6.217631161,"[128, 128, 128]"
1515452,10,Boardwalk - Millenium Bridge to Ha'penny Bridge  - Opp. Wooden Mills,227,53.34647768,-6.263500466,"[128, 128, 128]"
1515456,10,Boardwalk - Grattan Bridge to Millenium Bridge - Opp. No. 10,113,53.34607124,-6.266740048,"[128, 128, 128]"
1515457,10,A2/2 - Ringsend outside church opp bradley’s pharmacy,227,53.3420388,-6.227799198,"[128, 128, 128]"
1515458,10,Temple Bar - Fleet St. - Cafe Nero,2384,53.34567964,-6.26184963,"[128, 128, 128]"
1515459,10,Heuston Station Entrance - Bus Stop at Taxi Rank - City Bound,567,53.34606167,-6.293968333,"[128, 128, 128]"
1515460,10,Boardwalk - Ha'penny Bridge to O'Connell Bridge - Opp. O'Connell's Bar,113,53.34725686,-6.260151404,"[128, 128, 128]"
1515461,10,A6/4 - Terenure Rd. East - Creative Asian Dining,908,53.31008491,-6.282692481,"[128, 128, 128]"
1515463,10,Boardwalk - Ha'penny Bridge to O'Connell Bridge - Opp. Sacrament Church,340,53.34696562,-6.261283017,"[128, 128, 128]"
1515464,10,A6/1 - Rathmines plaza Swan leisure,2384,53.32482388,-6.265391697,"[128, 128, 128]"
1515465,10,Rosie Hackett Bridge meets Eden Quay,340,53.34789836,-6.257345257,"[128, 128, 128]"
1515484,10,Grattan Bridge - Wellington Quay Side,454,53.34542,-6.267603333,"[128, 128, 128]"
1515487,10,Manor St. - Centra - at corner of Arbour Hill,1816,53.35050785,-6.281770477,"[128, 128, 128]"
1515488,10,Raheny - Macaris,113,53.38017567,-6.17400198,"[128, 128, 128]"
1515489,10,Boardwalk - Grattan Bridge to Millenium Bridge - Opp. Morrison Grill,0,53.3461732,-6.265772546,"[128, 128, 128]"
1515490,10,A4/4 - Ranelagh triangle at spar,1135,53.32525783,-6.255167326,"[128, 128, 128]"
1515497,10,Smithfield - Dublin Bikes - Mater UCD,2952,53.34966359,-6.277925189,"[128, 128, 128]"
1515498,10,Rosie Hackett Bridge meets Burgh Quay - Opp. Bermingham cameras,794,53.34738571,-6.257256732,"[128, 128, 128]"
1515499,10,Collins Ave. - Spar - Kitty Kiernans Pub,1589,53.3768629,-6.223602183,"[128, 128, 128]"
1515500,10,Clontarf Rd. - Vernon Ave. - Outside Thunders Cafe,1362,53.359175,-6.196275,"[128, 128, 128]"
1515501,10,A4/1 - The Barge - Grand Canal,908,53.33046764,-6.260672002,"[128, 128, 128]"
1515502,10,Raheny Main St - Four Star Pizza,454,53.37960066,-6.175049879,"[128, 128, 128]"
1515503,10,Swords Rd at Bus Stop 1639 - inbound - outside Magners Pharmacy,908,53.39653503,-6.245094501,"[128, 128, 128]"
1515504,10,Boyle Sports - Riordans Pub - Finglas Village,1476,53.38922587,-6.299612193,"[128, 128, 128]"
1515549,10,Griffith Ave - Ardscoil Ris,454,53.36905311,-6.228995151,"[128, 128, 128]"
1515550,10,Boardwalk - Ha'penny Bridge to O'Connell Bridge - Opp. Tanning Salon,340,53.34681333,-6.2619,"[128, 128, 128]"
1515551,10,Parliament St. - Beef & Lobster,1022,53.34418219,-6.267305501,"[128, 128, 128]"
1515552,10,Boardwalk - Millenium Bridge to Ha'penny Bridge  - Opp. Colour Works,0,53.34627634,-6.264609528,"[255, 0, 0]"
1515553,10,Clontarf Rd. - Vernon Ave. - Outside Spar & Roccos,794,53.35921833,-6.195936667,"[128, 128, 128]"
1515554,10,Smithfield Third Space corner Haymarket,1703,53.34850035,-6.278505044,"[128, 128, 128]"
1515555,10,A4/1 - Grand Canal - Charlemont Luas Exit Opp Hotel,454,53.33087534,-6.258948907,"[128, 128, 128]"
1515556,10,Between Whitworth Rd & Grand Parade - outbound N1 - outside Spar,454,53.36217623,-6.259098381,"[128, 128, 128]"
1515557,10,Boardwalk - O'Connell Bridge to Rosie Hackett Bridge - Opp. Carlyle Club Townhouse,454,53.34758242,-6.258680986,"[128, 128, 128]"
1515558,10,Smithfield - Generator Bar,794,53.34821411,-6.278524687,"[128, 128, 128]"
1515559,10,Drumcondra Dart Starion at bus stop 17 - Outbound N1,2725,53.36312204,-6.258361377,"[128, 128, 128]"
1515560,10,Heuston Station Opposite - Bus Stop - Outbound,908,53.34584833,-6.293701667,"[128, 128, 128]"
1515561,10,Aston Quay- Bus Stop 329- Riverside Shop,2952,53.34625638,-6.261716676,"[128, 128, 128]"
1515564,10,A6/3 - Harolds Cross - Bus Stop 1343 - Opp. Coughlan’s Centra,2271,53.32264621,-6.279425449,"[128, 128, 128]"
1515566,10,Manor St. - Bus Stop 1648 -Corner of Arbour Place,3293,53.35096833,-6.28275,"[0, 255, 0]"
1515567,10,Cabra Rd - Bus Stop 78 - DCC Area Office,2725,53.36116303,-6.284160956,"[128, 128, 128]"
1515568,10,A4/1 - Charlemont Court Opp 29-30 - Canal,2611,53.33030545,-6.262483028,"[128, 128, 128]"
1515569,10,Super Value Finglas Village,113,53.39017259,-6.298413763,"[128, 128, 128]"
1515571,10,A6/2 - Portobello Quay - Grand Canal,2725,53.33024072,-6.265512884,"[128, 128, 128]"
1515572,10,Supervalu - Ballymun,454,53.39519813,-6.264203643,"[128, 128, 128]"
1515573,10,Glasnevin avenue - Bus stop 139 - Tesco Express,1703,53.39059767,-6.286549975,"[128, 128, 128]"
1515574,10,A6/2 - Portobello - Atlas Language School - Grand Canal,1703,53.33019671,-6.264802298,"[128, 128, 128]"
1515576,10,Pappin Rd - Paddy Power - at shops,1135,53.3857926,-6.265730153,"[128, 128, 128]"
1515577,10,Boardwalk - Grattan Bridge to Millenium Bridge - Opp. BG Solicitors,340,53.34602182,-6.267617755,"[128, 128, 128]"
1515578,10,Boardwalk - Ha'penny Bridge to O'Connell Bridge - Opp. Arlington Bar,113,53.34706579,-6.260884767,"[128, 128, 128]"
1515579,10,A4/1 - Grand Canal -  Charlemont Court,681,53.33032452,-6.262889796,"[128, 128, 128]"
1515580,10,Bank of Ireland Phibsboro - North Circular Rd.,1022,53.36083375,-6.271833622,"[128, 128, 128]"
1515581,10,Smithfield - Maldron Hotel - Beside Parking Meter 5377,2384,53.34941474,-6.27810536,"[128, 128, 128]"
1515582,10,Parliament St. - Porterhouse,1022,53.34503219,-6.267429748,"[128, 128, 128]"
1515583,10,Boardwalk - Rosie Hackett Bridge to Butt Bridge - Opp. Tracey's Pharmacy,1249,53.3479414,-6.256993848,"[128, 128, 128]"
1515584,10,Aston Quay - USIT - Bus Stop 325,1135,53.34674236,-6.259753858,"[128, 128, 128]"
1515585,10,Wms 1393 - Right - Playground - Smithfield,1930,53.34730184,-6.2785271,"[128, 128, 128]"
1515586,10,Burgh Quay - Bus Stop Outside Immigration Service,1135,53.34742639,-6.256354325,"[128, 128, 128]"
1515588,10,Rosie Hackett Bridge meets Burgh Quay - Opp. Empire Casino,113,53.34735951,-6.257395209,"[128, 128, 128]"
1515589,10,Burgh Quay - Bus Stop Outside Immigration Service,1589,53.3473207,-6.256970364,"[128, 128, 128]"
1515590,10,Smithfield - Luas Stop - Donuts & Coffee Shop,1135,53.34699682,-6.277345419,"[128, 128, 128]"
1515593,10,Westmoreland St. - Circle k - Against Railing,2498,53.34661338,-6.259214271,"[128, 128, 128]"
1515594,10,Gratten Bridge - Boardwalk Side,908,53.34591167,-6.267798333,"[128, 128, 128]"
1515595,10,Boardwalk - Ha'penny Bridge to O'Connell Bridge - Opp. Arlington Hotel,113,53.34710667,-6.260563333,"[128, 128, 128]"
1515596,10,Aston Quay-outside The Dublin Barber,2725,53.34649553,-6.260985054,"[128, 128, 128]"
1515597,10,Aston Quay - Supervalu,2271,53.34647382,-6.26038172,"[128, 128, 128]"
1515598,10,Parliament St. - Turks Head,1022,53.34488379,-6.267507813,"[128, 128, 128]"
1515599,10,Wms 1137 - Left - Smithfield Playground,2611,53.34729723,-6.27853456,"[128, 128, 128]"
1515600,10,Smithfield - Costa Coffee - Beside Luas Line,1589,53.34704833,-6.278723333,"[128, 128, 128]"
1515601,10,Temple Bar - Fleet St - Paddy Power,2839,53.345763,-6.260160734,"[128, 128, 128]"
1515602,10,Parliament St. - Spar,908,53.34467167,-6.267231667,"[128, 128, 128]"
1515604,10,Wms 1087 - Ballyfermot - Homesavers - Bus Stop 2656 (Left),794,53.34257125,-6.358520695,"[128, 128, 128]"
1515605,10,Essex St. East - Projects Art Centre,2384,53.3451065,-6.265804116,"[128, 128, 128]"
1515606,10,Boardwalk - Millenium Bridge to Ha'penny Bridge  - Opp. Unicef,0,53.34636261,-6.264046846,"[128, 128, 128]"
1515607,10,Essex St. West -Smock Alley Theatre,2157,53.3446818,-6.268761983,"[128, 128, 128]"
1515609,10,Wms 1089 - Smithfield - Chopped,113,53.34810066,-6.278230141,"[128, 128, 128]"
1515610,10,A2/3 - Sandymount Village at Jaz Hair Co.,681,53.33182833,-6.215916667,"[128, 128, 128]"
1515612,10,Sandymount Village- Ped X Over- Artybaker,1362,53.332028,-6.214817343,"[128, 128, 128]"
1515613,10,Clontarf Rd. - Inbound - at Bus Stop 1731,1249,53.35904645,-6.196384796,"[128, 128, 128]"
1516157,10,End Of Sir John Rogerson Quay - Opp. Fresh at Bike Rack,454,53.34560389,-6.230886794,"[128, 128, 128]"
1516449,10,James Joyce St - Foley St Junction - DCC The Lab,1022,53.35140032,-6.253296198,"[128, 128, 128]"
1516450,10,"Outside Spar, Hanover Quay",340,53.34407308,-6.236155684,"[128, 128, 128]"
1516630,10,Sunmerhill Parade - 16 Lowrys Pub,1816,53.35758702,-6.248486077,"[128, 128, 128]"
1516631,10,Cornmarket - Farrow & Ball - at Bike Rack,1135,53.34322728,-6.27587884,"[128, 128, 128]"
1516632,10,Chapelizod Plaza - Spar Shop,908,53.34926111,-6.344191424,"[128, 128, 128]"
1516635,10,Errigal Rd - at the Shops - Bus Stop 6094,1135,53.3254192,-6.32127522,"[128, 128, 128]"
1516636,10,Forbes St corner Hanover Quay,1362,53.34425418,-6.238370892,"[128, 128, 128]"
1516637,10,Cardiff Lane - Opp Starbucks - Ropewalk Way,794,53.34557643,-6.240550655,"[128, 128, 128]"
1516638,10,Cooley Rd - Main Entrance to Childrens Hospital,1362,53.3266952,-6.317335385,"[128, 128, 128]"
1516640,10,Georges Quay Bus Stop B,1135,53.34737066,-6.253102584,"[128, 128, 128]"
1516642,10,Pearse Street Outside Valentino Restaurant,681,53.34252042,-6.238727833,"[128, 128, 128]"
